No;BawangMerah
1;19300
2;18300
3;18000
4;18350
5;18500
6;21900
7;23150
8;22700
9;23100
10;23250
11;22250
12;24650
13;26150
14;35450
15;31000
16;30000
17;29750
18;34750
19;33000
20;31200
21;31900
22;31500
23;31100
24;31000
25;31000
26;29500
27;25750
28;24700
29;22450
30;21950
31;27000
32;20800
33;20150
34;20000
35;20000
36;17400
37;17650
38;17350
39;16850
40;18050
41;19500
42;20000
43;20200
44;16750
45;21500
46;23300
47;27200
48;26000
49;25500
50;26600
51;27450
52;26650
53;26900
54;27900
55;28000
56;25850
57;22400
58;21250
59;23100
60;23750
61;27300
62;29650
63;33900
64;32100
65;33700
66;39000
67;40000
68;38400
69;32450
70;35000
71;31600
72;30700
73;28700
74;28750
75;32250
76;30900
77;31200
78;30500
79;26950
80;27800
81;25750
82;25750
83;30300
84;23700
85;21500
86;20500
87;19500
88;17000
89;17000
90;17000
91;15900
92;17500
93;20000
94;23450
95;24850
96;23000
97;25250
98;27500
99;31300
100;30400
101;35000
102;36050
103;36750
104;33700
105;33600
106;32400
107;27800
108;27450
109;26500
110;27650
111;27350
112;26550
113;26750
114;30200
115;30000
116;32900
117;37750
118;27900
119;39400
120;40200
121;43000
122;43750
123;46250
124;48750
125;51850
126;54250
127;47550
128;43100
129;40550
130;37250
131;54200
132;34650
133;32050
134;31450
135;29450
136;27050
137;26500
138;25500
139;23150
140;23800
141;25850
142;26500
143;26050
144;25850
145;29800
146;31000
147;32400
148;32500
149;34500
150;33050
151;33600
152;33200
153;33400
154;31250
155;31000
156;30350
157;28250
158;28250
159;27350
160;27050
161;25850
162;26700
163;30050
164;29250
165;25850
166;31150
167;31150
168;30750
169;30500
170;30900
171;30500
172;29650
173;30750
174;29300
175;29900
176;31500
177;30300
178;29500
179;28750
180;28400
181;26850
182;27150
183;29550
184;30150
185;29650
186;33150
187;34750
188;31700
189;28700
190;27000
191;25000
192;35750
193;25050
194;24500
195;24900
196;24300
197;24600
198;26500
199;27250
200;26750
201;25000
202;23800
203;21300
204;20900
205;25950
206;24150
207;25550
208;25700
209;25650
210;26200
211;25400
212;25750
213;24750
214;26900
215;32450
216;33550
217;36150
218;35400
219;33350
220;29700
221;28050
222;28000
223;30100
224;30200
225;29250
226;32800
227;34600
228;39150
229;40500
230;40500
231;45350
232;49250
233;54500
234;56900
235;66000
236;72900
237;58750
238;37500
239;35000
240;32700
241;30050
242;28750
243;37000
244;31550
245;32800
246;31550
247;30600
248;32100
249;32950
250;32650
251;33850
252;36900
253;34550
254;35150
255;32500
256;32050
257;32800
258;33550
259;34150
260;35000
261;35000
262;36600
263;39300
264;41200
265;35700
266;42000
267;36350
268;33800
269;32100
270;35450
271;34900
272;34750
273;32950
274;32600
275;32350
276;39000
277;42950
278;42950
279;42100
280;41300
281;39450
282;41700
283;37300
284;37750
285;36750
286;35250
287;37000
288;31450
289;25500
290;25750
291;26600
292;25500
293;23500
294;23050
295;21900
